,기업명,설립연도,매출액,사원수,업종분류,기업규모,주소,기업 홈페이지 URL
239,아이오바이오,2011년 8월 9일,"11억 9,139만원 (2022)",34 명 재직중,의료·정밀·시계·광학기기,중소기업,"서울특별시 강남구 테헤란로4길 38 8층 801호 (역삼동,태영빌딩)지도보기",//www.aiobio.co.kr
240,경우시스테크,1999년 7월 7일,"258억 9,469만원 (2022)",86 명 재직중,전기·전자·반도체,중소기업,서울 금천구 디지털로9길 68 401호지도보기,//www.kyungwoo.com
241,아이알큐더스,2000년 2월 1일,"54억 5,996만원 (2022)",76 명 재직중,법률·회계,중소기업,"서울특별시 영등포구 국제금융로8길 2 14층 (여의도동,농협재단빌딩)지도보기",//www.irkudos.co.kr
242,에프앤유신용정보,1998년 12월 23일,"663억 7,863만원 (2022)","1,180 명 재직중",사무지원·콜센터·텔레마케팅,대기업,"서울특별시 마포구 마포대로 144 (공덕동,마포T타운) 7층지도보기",//www.fnucni.co.kr
243,바이온사이트,2019년 10월 24일,-,14 명 재직중,연구개발업,중소기업,"서울특별시 성동구 왕십리로 58 (성수동1가,FORHU) 418호지도보기",//bionsight.com
244,유니드컴즈,2014년 12월 23일,"42억 1,815만원 (2022)",36 명 재직중,소프트웨어·솔루션·ASP,중소기업,서울특별시 마포구 양화로 81 L1층 L105호(패스트파이브 합정점)지도보기,//www.uneedcomms.com
245,현대캐피탈,1993년 12월 22일,"3조 262억 2,574만원 (2022)","2,175 명 재직중",은행·카드·투자기관,대기업,서울특별시 영등포구 의사당대로 3 (여의도동)지도보기,//www.hyundaicapital.com
246,미스터블루,2022년 2월 10일,-,6 명 재직중,언론·출판·신문·잡지,중소기업,전라남도 순천시 별미길 27-1 (남내동)지도보기,//studio365.kr
247,지오시스,1999년 1월 1일,"85억 1,978만원 (2022)",17 명 재직중,제조업기타,중소기업,경기도 화성시 향남읍 동오4길 74-10 (동오리)지도보기,//www.mygeosys.co.kr
248,트립비토즈,2015년 10월 6일,"76억 5,502만원 (2022)",72 명 재직중,호텔·여행·항공,중소기업,서울특별시 강남구 테헤란로 415 L7 스파크플러스 3층 302호지도보기,//www.tripbtoz.com
249,한국평가정보,1986년 12월 31일,-,"2,240 명 재직중",학원·학습지,중견기업,"서울 관악구 보라매로3길 23 (봉천동,대교타워)지도보기",//recruit.daekyo.com/
250,드랩,2020년 6월 17일,"5억 1,564만원 (2019)",3 명 재직중,소프트웨어·솔루션·ASP,중소기업,"경기도 부천시 조마루로385번길 92 1208호 (원미동,부천테크노밸리 유1센터)지도보기",//www.tedlab.kr
251,포커스미디어코리아,2017년 6월 21일,"734억 1,869만원 (2022)",237 명 재직중,방송·광고·영상·오디오,중견기업,"서울특별시 영등포구 여의대로 24 FKI 45층(여의도동,전국경제인연합회회관)지도보기",//www.focusmediakorea.com
252,컴투스플랫폼,2016년 9월 12일,"258억 6,867만원 (2022)",140 명 재직중,개인서비스,중견기업,"서울특별시 금천구 가산디지털1로 131 A동 22층 (가산동,비와이씨하이시티빌딩)지도보기",//www.com2usplatform.com
253,에이아이썸,2013년 7월 25일,"21억 4,443만원 (2022)",18 명 재직중,인터넷·포털·컨텐츠·게임,중소기업,"서울특별시 강남구 선릉로 578 (삼성동,태정빌딩 6층)지도보기",//www.piclick.me
254,일만백만,2021년 12월 31일,"3억 6,900만원 (2022)",2 명 재직중,소프트웨어·솔루션·ASP,중소기업,,
255,로위랩코리아,2019년 1월 4일,"8억 4,093만원 (2022)",12 명 재직중,방송·광고·영상·오디오,중소기업,서울특별시 강남구 강남대로162길 20 3층지도보기,//rowilab.com
256,퀀티파이드이에스지,2019년 6월 25일,"15억 8,421만원 (2022)",-,소프트웨어·솔루션·ASP,중소기업,"서울특별시 종로구 새문안로3길 12 4층 (신문로1가,신문로빌딩)지도보기",//qesg.co.kr
